ac_sink,sink_gender,sink_YOB,sink_race
4581ae1824904f6bb86ad82cda01d2e4,M,1978,White
c38f3c372ee76996f1f035cb5e4de33e,F,1956,Unknown
0ee2b7bc001c7743abd32c301a3c1505,F,1954,White
d764dded6b38f00f9f21d744fb4d829d,F,1955,White
38240fdd21860fbb4cb0b32b8064c1ca,F,1957,White
6b4e3f73cac6bd7b30c9a2adfd1f5d1f,F,1966,Black
d0b2656d88f5cc1f554471df43a9bf42,F,1960,White
bd55d7df46dc564d95a4d74f0b43fea8,F,1965,White
8bbff265321c3c7eb9ac892dabbd73e3,F,1960,White
4fa25435b0e583b0e1b9ad877194ba61,F,1935,Unknown
72a75dabceaf9ab8ec5723a6c6f28ec8,M,1946,Unknown
e48ec95703f67973530a73ab1ad7edd4,F,1954,Unknown
07c9f7c706869d11e04c3668f712505c,F,1962,White
6e4b4c19de0adc1ba26ef2e2f38d78a7,M,1949,White
729351739688c0d8e9ce41909c89c4b9,M,1971,White
9b110f62d6af742ebe29e3c218f83002,M,1975,White
aa3f9080f674ddf5f1c515042024ff44,F,1948,White
caa34d5042082c5210eae62667838754,F,1954,White
ac39b7a2939a2f6509a6821cf2058b97,F,1970,White
7d84030ff65841ba7f65e439c9ca4420,F,1954,White
2d004ead2d1af8d74ea0dbec805262df,F,1994,White
1eec19e2a1fc3ed9f92116452c37ce06,F,1994,Unknown
cb180c7854cd25cc3f89b6c7c1680924,M,1983,White
1ee0e26e6e4f5e47d3c41a2693ef0e4b,F,1964,White
5cdbef90ab3e4eadb3c27a86e9825569,M,1980,White
0b5afe1793b03f51693c58954bd24227,M,1961,White
c5386ef1fa535dabe8ac0b22e2903cf7,M,1973,White
537ab941cd4f03494f661a9a13108a61,F,1963,White
3bcf3757cdf6d6b0259caa3452582972,F,1957,Unknown
86c3dcf5354c61027499e644e4befb4e,M,1948,Unknown
bd71047e7f6efe6e27c07d8f154c44c5,M,1966,White
98426ed4cac8115fb6846f00067a23de,F,1981,White
02ecc37d6683fbf0a52e3e2fbcaf7c26,F,1978,White
e39a4bbdcd9f3ee47eed374762e04c88,M,1958,White
1a5343e19cfbb58a121f3d8aaa992ad3,M,1985,White
8fab46d5123cd906e72956399cc3bd4d,F,1975,White
7ffc4efa83340fef9d4ddeba1a42d617,F,1970,White
c85215b445c9056c2d77d3feb4fc98c4,M,1970,White
430e93dc52bcbbd893ea731036916af5,M,1967,Other
3307fda349fd0828b2eb1b28aee670ce,F,1963,White
32a5567805a82b3bf715285bd8469732,M,1983,White
d4bab754eeb2581ba69fb9bc6f6b57c7,F,1977,White
ce6cd5295abe8a327183a39338c1508f,F,1946,White
d11f1c4579561143d06f7c3608dedb45,F,1970,White
a6b4b55f3b9424c7b1b547b10a035eeb,F,1954,White
bb7d2fcf78330bab2cd38c9b003664bc,M,1964,White
2d1c39deacd145583876265ebfa30577,F,1956,Unknown
220ec3873e5d18aab2cc1fc3bab595c7,F,1989,Other
1efac104eb6834ff85dc80936a5c4450,F,1968,White
c76ae886d575e87021e16f2aebe9a751,F,1962,White
817a83eb4bec746caec4f27ad5f7f289,F,1959,White
e7ac5f47389baeb2e8b1ef6a13750b71,F,1980,White
7527933be24f191fa54aed08b9ccd2f1,F,1948,White
e90639c31e8ffbd9b4f50da05b6d8c16,F,1955,Unknown
7a80b6737217e76c991593e3d984b6ed,M,1961,White
5c5c6e50cde873295d9b9cd96c7ce1f8,M,1962,White
1d28dcdb92dbfb91be0d0cfe93320230,M,1979,White
a3047b8ad4a0f89a43f0a2d33bcf5f9f,M,1972,White
e46758ad7e7677006a8762a65076aff5,M,1962,White
43d2b1ced55a62567368180488c83cb0,F,1961,White
aad153434208e7d6276a1a583ea21396,F,1952,White
5ffcf9ecee457787ba0a230e4b975dbb,F,1973,White
b810922b083ade9c31ede5f888392c18,F,1967,White
89c396552680f0f5c7353d47f0f309de,F,1987,Unknown
335fec80dc5090042017fd8f36c70493,F,1974,White
bca4bbca9c15b29072403e67bb65e619,M,1952,Unknown
238ccec86764654bdbc31bcc6c8535ab,F,1963,White
20daff40f9849fe8bac6a6770b81b7fc,F,1948,White
9bb6338acef33b3d0ce3c21303d97bd1,F,1965,White
c34929ef85653ac640c92aeb52e62088,F,1965,White
0097a1eed7925932a48e4c7f7e2203f4,M,1959,White
aae8e197babd0cfdd1e0410cede2f439,F,1958,White
178cc243e35c73f83b49456eb70f1aeb,M,1984,White
b810922b083ade9c31ede5f888392c18,F,1967,White
89c396552680f0f5c7353d47f0f309de,F,1987,Unknown
335fec80dc5090042017fd8f36c70493,F,1974,White
bca4bbca9c15b29072403e67bb65e619,M,1952,Unknown
238ccec86764654bdbc31bcc6c8535ab,F,1963,White
20daff40f9849fe8bac6a6770b81b7fc,F,1948,White
9bb6338acef33b3d0ce3c21303d97bd1,F,1965,White
c34929ef85653ac640c92aeb52e62088,F,1965,White
0097a1eed7925932a48e4c7f7e2203f4,M,1959,White
f1d3a0716d2747cb6fcc081640486c4d,F,1965,White
178cc243e35c73f83b49456eb70f1aeb,M,1984,White
e0a1d5134e9ee052ba0b4b935f807b6b,M,1994,White
